muso,instrument,genre,ability,age_group,paid,drinks,night,gender
0,accordion,ITM,wizz,old-head,1,guinness,both,male
1,fiddle,ITM,decent,college_kid,0,murphys,weekend,male
2,accordion,ITM,wizz,college_kid,0,beamish,midweek,female
3,bodhrán,ITM,decent,old-head,0,spirits,midweek,female
4,guitar,blues,decent,college_kid,1,spirits,midweek,male
5,flute,ITM,decent,college_kid,0,beamish,midweek,male
6,bodhrán,ITM,decent,so_called_grown-up,1,other_draft,weekend,female
7,guitar,ITM,wizz,old-head,0,other_draft,weekend,male
8,guitar,ITM,wizz,old-head,1,other_draft,weekend,male
9,accordion,ITM,wizz,college_kid,0,water/soft drinks,weekend,male
10,accordion,ITM,wizz,old-head,0,guinness,weekend,male
11,guitar,blues,wizz,college_kid,0,murphys,weekend,male
12,guitar,blues,decent,so_called_grown-up,0,guinness,midweek,female
13,guitar,blues,wizz,old-head,0,guinness,midweek,male
14,uilleann_pipes,ITM,decent,college_kid,0,water/soft drinks,weekend,male
15,guitar,old-time,decent,college_kid,1,water/soft drinks,weekend,male
16,guitar,blues,wizz,so_called_grown-up,0,beamish,midweek,male
17,guitar,bluegrass,wizz,old-head,0,red_wine,weekend,female
18,fiddle,bluegrass,decent,so_called_grown-up,0,guinness,weekend,male
19,accordion,ITM,decent,old-head,0,guinness,midweek,male
20,guitar,blues,decent,old-head,1,murphys,weekend,male
21,fiddle,old-time,decent,so_called_grown-up,0,guinness,weekend,male
22,guitar,ITM,wizz,old-head,0,other_draft,weekend,female
23,mandolin,bluegrass,decent,college_kid,1,water/soft drinks,midweek,male
24,fiddle,bluegrass,decent,college_kid,1,craft_beers,weekend,male
25,accordion,ITM,decent,old-head,0,red_wine,midweek,male
26,fiddle,ITM,wizz,old-head,1,other_draft,weekend,male
27,fiddle,ITM,wizz,college_kid,0,beamish,midweek,male
28,guitar,blues,decent,so_called_grown-up,1,beamish,weekend,male
29,guitar,blues,decent,old-head,0,murphys,midweek,male
30,bodhrán,ITM,decent,old-head,0,guinness,midweek,female
31,guitar,blues,decent,old-head,0,spirits,weekend,male
32,guitar,old-time,wizz,so_called_grown-up,1,spirits,midweek,female
33,mandolin,bluegrass,wizz,college_kid,0,spirits,midweek,male
34,fiddle,ITM,decent,so_called_grown-up,0,red_wine,midweek,male
35,accordion,ITM,wizz,old-head,0,craft_beers,weekend,male
36,accordion,ITM,decent,old-head,0,red_wine,weekend,male
37,flute,ITM,wizz,so_called_grown-up,0,other_draft,both,male
38,guitar,bluegrass,wizz,college_kid,1,red_wine,midweek,female
39,fiddle,ITM,wizz,college_kid,0,spirits,weekend,female
40,guitar,old-time,wizz,old-head,0,spirits,midweek,male
41,fiddle,old-time,decent,old-head,0,craft_beers,weekend,male
42,guitar,blues,decent,college_kid,0,beamish,both,male
43,guitar,blues,decent,college_kid,0,red_wine,weekend,male
44,fiddle,ITM,wizz,so_called_grown-up,1,murphys,weekend,male
45,fiddle,ITM,wizz,college_kid,0,red_wine,midweek,male
46,guitar,blues,wizz,old-head,1,craft_beers,both,male
47,fiddle,bluegrass,wizz,college_kid,0,water/soft drinks,weekend,male
48,accordion,ITM,decent,college_kid,1,murphys,midweek,female
49,accordion,ITM,decent,old-head,1,water/soft drinks,midweek,male
50,drums,blues,decent,college_kid,0,spirits,midweek,male
51,banjo,old-time,decent,college_kid,0,murphys,midweek,female
52,guitar,blues,decent,college_kid,1,other_draft,midweek,female
53,fiddle,old-time,wizz,college_kid,0,craft_beers,weekend,male
54,drums,blues,decent,college_kid,0,spirits,weekend,male
55,concertina,ITM,decent,college_kid,0,red_wine,midweek,male
56,flute,ITM,decent,college_kid,0,spirits,weekend,male
57,guitar,bluegrass,decent,college_kid,0,murphys,both,male
58,fiddle,ITM,decent,so_called_grown-up,0,craft_beers,weekend,male
59,accordion,ITM,wizz,old-head,1,other_draft,weekend,male
60,bass,old-time,wizz,college_kid,0,water/soft drinks,midweek,male
61,guitar,blues,wizz,college_kid,0,murphys,weekend,male
62,fiddle,ITM,decent,so_called_grown-up,0,craft_beers,midweek,female
63,fiddle,ITM,wizz,old-head,0,beamish,midweek,male
64,guitar,blues,wizz,old-head,0,spirits,both,male
65,fiddle,ITM,decent,college_kid,1,other_draft,weekend,male
66,bass,old-time,decent,college_kid,0,murphys,weekend,male
67,uilleann_pipes,ITM,wizz,college_kid,0,craft_beers,weekend,male
68,flute,ITM,wizz,college_kid,0,other_draft,weekend,male
69,guitar,blues,decent,so_called_grown-up,0,spirits,midweek,male
70,guitar,bluegrass,wizz,so_called_grown-up,1,craft_beers,midweek,male
71,guitar,blues,wizz,college_kid,0,craft_beers,midweek,male
72,guitar,ITM,wizz,college_kid,0,beamish,midweek,male
73,accordion,ITM,wizz,so_called_grown-up,0,beamish,weekend,male
74,guitar,bluegrass,wizz,college_kid,0,other_draft,midweek,female
75,accordion,ITM,decent,old-head,1,water/soft drinks,weekend,male
76,guitar,blues,wizz,college_kid,0,water/soft drinks,weekend,male
77,fiddle,ITM,wizz,old-head,0,red_wine,weekend,male
78,accordion,ITM,decent,college_kid,0,red_wine,weekend,female
79,accordion,ITM,wizz,old-head,0,other_draft,weekend,male
80,guitar,ITM,wizz,old-head,0,guinness,both,female
81,fiddle,ITM,decent,old-head,1,beamish,weekend,male
82,banjo,old-time,wizz,old-head,0,murphys,weekend,male
83,guitar,bluegrass,decent,old-head,0,murphys,both,male
84,fiddle,ITM,decent,old-head,0,guinness,weekend,male
85,guitar,old-time,decent,old-head,0,murphys,midweek,male
86,accordion,ITM,wizz,college_kid,1,beamish,weekend,male
87,drums,blues,decent,so_called_grown-up,0,craft_beers,midweek,male
88,guitar,old-time,decent,so_called_grown-up,0,water/soft drinks,weekend,male
89,bodhrán,ITM,decent,old-head,0,red_wine,both,male
90,accordion,ITM,decent,so_called_grown-up,0,other_draft,weekend,female
91,guitar,old-time,wizz,college_kid,0,other_draft,weekend,female
92,guitar,old-time,decent,old-head,0,murphys,midweek,male
93,banjo,bluegrass,decent,college_kid,0,guinness,both,male
94,guitar,blues,decent,college_kid,0,craft_beers,midweek,male
95,guitar,bluegrass,wizz,so_called_grown-up,0,craft_beers,midweek,male
96,fiddle,ITM,wizz,so_called_grown-up,0,beamish,midweek,male
97,fiddle,ITM,decent,college_kid,0,other_draft,midweek,male
98,guitar,blues,wizz,college_kid,0,murphys,weekend,male
99,guitar,old-time,decent,college_kid,0,guinness,weekend,male
100,accordion,ITM,decent,college_kid,0,red_wine,midweek,male
101,mandolin,bluegrass,wizz,college_kid,0,craft_beers,midweek,male
